ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
133;Franz Abb;M;NA;NA;NA;Allemagne;GER;1900 Summer;1900;Summer;Paris;Gymnastics;Gymnastics Men's Individual All-Around;NA;France
389;Adolf Gaston Abel;M;45;NA;NA;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Art Competitions;Art Competitions Mixed Architecture, Designs For Town Planning;NA;Pays-Bas
389;Adolf Gaston Abel;M;45;NA;NA;Allemagne;GER;1928 Summer;1928;Summer;Amsterdam;Art Competitions;Art Competitions Mixed Architecture, Architectural Designs;NA;Pays-Bas
393;Gnther Abel;M;19;183;80;Allemagne de l'Est;FRG;1976 Winter;1976;Winter;Innsbruck;Nordic Combined;Nordic Combined Men's Individual;NA;Autriche
393;Gnther Abel;M;23;183;80;Allemagne de l'Est;FRG;1980 Winter;1980;Winter;Lake Placid;Nordic Combined;Nordic Combined Men's Individual;NA;États-Unis
394;Irene Abel;F;19;160;48;Allemagne de l'Ouest;GDR;1972 Summer;1972;Summer;Munich;Gymnastics;Gymnastics Women's Individual All-Around;NA;Allemagne de l'Ouest
394;Irene Abel;F;19;160;48;Allemagne de l'Ouest;GDR;1972 Summer;1972;Summer;Munich;Gymnastics;Gymnastics Women's Team All-Around;Silver;Allemagne de l'Ouest
394;Irene Abel;F;19;160;48;Allemagne de l'Ouest;GDR;1972 Summer;1972;Summer;Munich;Gymnastics;Gymnastics Women's Floor Exercise;NA;Allemagne de l'Ouest
394;Irene Abel;F;19;160;48;Allemagne de l'Ouest;GDR;1972 Summer;1972;Summer;Munich;Gymnastics;Gymnastics Women's Horse Vault;NA;Allemagne de l'Ouest
394;Irene Abel;F;19;160;48;Allemagne de l'Ouest;GDR;1972 Summer;1972;Summer;Munich;Gymnastics;Gymnastics Women's Uneven Bars;NA;Allemagne de l'Ouest
394;Irene Abel;F;19;160;48;Allemagne de l'Ouest;GDR;1972 Summer;1972;Summer;Munich;Gymnastics;Gymnastics Women's Balance Beam;NA;Allemagne de l'Ouest
396;Katja Abel;F;25;165;55;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Gymnastics;Gymnastics Women's Individual All-Around;NA;Chine
396;Katja Abel;F;25;165;55;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Gymnastics;Gymnastics Women's Team All-Around;NA;Chine
396;Katja Abel;F;25;165;55;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Gymnastics;Gymnastics Women's Floor Exercise;NA;Chine
396;Katja Abel;F;25;165;55;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Gymnastics;Gymnastics Women's Uneven Bars;NA;Chine
396;Katja Abel;F;25;165;55;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Gymnastics;Gymnastics Women's Balance Beam;NA;Chine
402;Arthur Abele;M;22;184;85;Allemagne;GER;2008 Summer;2008;Summer;Beijing;Athletics;Athletics Men's Decathlon;NA;Chine
